Date,ItraxxMain,ItraxxXover,CDX_IG,SPX_Price,SPX_Volume,EuSt_Price,EuSt_Volume
2007-11-26,98.7661,98.2755,97.8988,1407.22,1289072128.0,4238.0,1018576768.0
2007-11-27,98.7212,98.1457,97.9381,1428.23,1433416960.0,4224.4399,1201415680.0
2007-11-28,98.8693,98.6962,98.238,1469.02,1492034944.0,4321.7402,1193019392.0
2007-11-29,98.8677,98.854,98.219,1469.72,1164577792.0,4347.0,1059298176.0
2007-11-30,99.0337,99.4543,98.2786,1481.14,1632557696.0,4394.9502,969294656.0
2007-12-03,98.9621,99.1976,98.1465,1472.42,1109581056.0,4371.6699,738701248.0
2007-12-04,98.8313,98.7535,98.1344,1462.79,1085258752.0,4339.1001,936793344.0
2007-12-05,98.8752,99.1107,98.1518,1485.01,1275375872.0,4410.0,970831616.0
2007-12-06,98.8354,99.0882,98.2882,1507.35,1098456576.0,4414.6602,937721408.0
2007-12-07,98.9356,99.4976,98.3071,1504.66,961444032.0,4446.3398,785181824.0
2007-12-10,99.0015,99.8862,98.4556,1515.96,977564736.0,4465.52,732542912.0
2007-12-11,99.0743,99.9836,98.1916,1477.65,1353499136.0,4449.9502,828105728.0
2007-12-12,99.1334,100.1513,98.3225,1486.59,1513286912.0,4469.4702,1044924608.0
2007-12-13,99.0685,99.8033,98.3814,1488.41,1262311296.0,4370.7598,1032715328.0
2007-12-14,99.103,99.9095,98.3589,1467.95,1125835776.0,4384.6499,791896000.0
2007-12-17,99.0646,99.6087,98.2214,1445.9,1199997056.0,4312.4702,884943360.0
2007-12-18,99.043,99.6069,98.3038,1454.98,1215405952.0,4309.1401,906635968.0
2007-12-19,99.0518,99.6367,98.285,1453.0,1126080256.0,4301.3398,1020190080.0
2007-12-20,99.0333,99.508,98.2241,1460.12,1100590464.0,4314.7002,935792640.0
2007-12-21,99.1107,99.8953,98.2375,1484.46,1937169664.0,4384.5498,1673943936.0
2007-12-24,99.1113,99.9987,98.2996,1496.45,430641472.0,4388.3799,22795430.0
2007-12-27,99.1631,100.0749,98.2852,1476.37,749621376.0,4404.6099,704820992.0
2007-12-28,99.1441,100.0541,98.2798,1478.49,778586496.0,4404.6401,427921664.0
2007-12-31,99.1559,100.0834,98.2745,1468.36,848893312.0,4399.7202,22784364.0
2008-01-02,99.1112,99.9461,98.1418,1447.16,1248066432.0,4339.23,719610304.0
2008-01-03,98.9272,99.0768,98.0226,1447.16,1092765056.0,4333.4199,850945088.0
2008-01-04,98.6977,98.3269,97.8138,1411.63,1465646720.0,4270.5298,1022896128.0
2008-01-07,98.6438,98.0837,97.6811,1416.18,1507555072.0,4283.3701,917356736.0
2008-01-08,98.6996,98.3824,97.4887,1390.19,1655680512.0,4295.23,1084534400.0
2008-01-09,98.5057,97.7758,97.3825,1409.13,1803876352.0,4258.3198,1208243840.0
2008-01-10,98.4365,97.7153,97.6332,1420.33,1787725056.0,4237.6201,1068801152.0
2008-01-11,98.4577,97.8226,97.4445,1401.02,1584136064.0,4225.3101,995947392.0
2008-01-14,98.4279,97.6415,97.485,1416.25,1259650816.0,4236.6802,951841152.0
2008-01-15,98.4328,97.63,97.3722,1380.95,1611293824.0,4140.9399,1127769216.0
2008-01-16,98.3846,97.1535,97.3106,1373.2,2000031232.0,4108.3398,1584031232.0
2008-01-17,98.2779,96.4841,97.0018,1333.25,1946144512.0,4065.76,1168310400.0
2008-01-18,98.2005,96.1805,96.9288,1325.19,2244777216.0,3995.1699,1858976128.0
2008-01-22,97.8381,94.8271,96.5933,1310.5,2356052224.0,3753.6799,2432413184.0
2008-01-23,97.8472,94.9603,96.9434,1338.6,2557447168.0,3577.99,1932421760.0
2008-01-24,98.1407,96.1665,97.1942,1352.07,1950381952.0,3809.0701,1679596160.0
2008-01-25,98.3186,96.4123,97.1092,1330.61,1756832896.0,3777.0601,1314609664.0
2008-01-28,98.209,96.0401,97.0925,1353.97,1376556160.0,3765.4099,1057929984.0
2008-01-29,98.3329,96.5812,97.3073,1362.3,1398231808.0,3810.01,971627648.0
2008-01-30,98.2572,96.3072,97.0399,1355.81,1678958464.0,3789.3101,953544768.0
2008-01-31,97.959,95.2807,97.0159,1378.55,1968294528.0,3792.8,1391886976.0
2008-02-01,97.9965,95.6561,97.0949,1395.42,2046803840.0,3867.47,1232849536.0
2008-02-04,97.9689,95.5113,96.9852,1380.82,1304256512.0,3867.1599,900807168.0
2008-02-05,97.6695,94.3517,96.6634,1336.64,1551488256.0,3717.0801,1173163776.0
2008-02-06,97.5759,94.0625,96.4458,1326.45,1474907392.0,3760.1201,1010166016.0
2008-02-07,97.4938,93.7243,96.3877,1336.91,1683550976.0,3699.29,1166817280.0
2008-02-08,97.2994,93.5728,96.1573,1331.29,1344803968.0,3701.1699,938110784.0
2008-02-11,97.0409,92.807,95.9393,1339.13,1277119360.0,3678.1599,943135424.0
2008-02-12,96.899,92.6806,95.6298,1348.86,1314581888.0,3803.76,1328321536.0
2008-02-13,96.9983,92.9946,95.86,1367.21,1255607296.0,3803.21,1032339712.0
2008-02-14,97.0666,93.553,95.7592,1348.86,1220647168.0,3797.8899,1005145024.0
2008-02-15,96.7439,92.4942,95.5402,1350.0,1329249408.0,3719.28,1347352704.0
2008-02-19,96.5477,92.1574,95.2631,1348.78,1198093824.0,3805.27,893652864.0
2008-02-20,95.8366,91.3271,95.1541,1360.03,1271532800.0,3758.47,1016626304.0
2008-02-21,96.1803,91.9275,95.1179,1342.53,1253239424.0,3778.21,830621120.0
2008-02-22,96.1606,92.2415,95.2789,1353.11,1279331072.0,3737.1101,849994368.0
2008-02-25,96.388,93.1384,95.755,1371.8,1330878464.0,3798.99,789845376.0
2008-02-26,96.9574,93.3939,96.0128,1381.29,1323827584.0,3855.03,850134720.0
2008-02-27,96.9578,93.2247,95.8522,1380.02,1244059392.0,3856.6899,815329728.0
2008-02-28,96.7161,92.5649,95.3181,1367.68,1234111104.0,3784.27,853862784.0
2008-02-29,96.0246,91.5318,94.7942,1330.63,1591496960.0,3724.5,1005375040.0
2008-03-03,95.9276,91.3903,94.8576,1331.34,1303937152.0,3675.51,858063936.0
2008-03-04,95.9399,91.7131,94.8057,1326.75,1602220800.0,3610.2,931354560.0
2008-03-05,96.0898,92.241,94.8525,1333.7,1439187072.0,3684.54,835402368.0
2008-03-06,95.6093,91.309,94.1189,1304.34,1388553600.0,3617.6799,855904256.0
2008-03-07,95.3364,90.9932,94.3387,1293.37,1502506880.0,3576.6799,1521509120.0
2008-03-10,95.0244,90.6298,93.7629,1273.37,1375158272.0,3546.1001,1042923648.0
2008-03-11,95.0572,91.0765,94.4111,1320.65,1685318912.0,3606.5901,1347280640.0
2008-03-12,95.3232,91.7915,94.1703,1308.77,1323521536.0,3647.6399,1130520064.0
2008-03-13,94.8609,91.0361,93.99,1315.48,1651246848.0,3599.5801,1595887488.0
2008-03-14,94.9099,91.1921,93.847,1288.14,1744623872.0,3566.5901,1273637632.0
2008-03-17,94.8412,90.9983,94.0806,1276.6,1784983040.0,3431.8201,1349879552.0
2008-03-18,95.8664,92.5235,94.9981,1330.74,1736582400.0,3558.6599,1092924032.0
2008-03-19,96.2926,92.9409,94.9347,1298.42,1599772928.0,3529.54,1660033536.0
2008-03-20,96.2336,92.7204,95.0611,1329.51,2164958464.0,3505.8999,2070147200.0
2008-03-25,97.0586,94.6848,96.1232,1352.99,1219022464.0,3632.5901,1471155456.0
